"","x"
"1","NDUFS1"
"2","NDUFS2"
"3","NDUFS3"
"4","NDUFS7"
"5","NDUFS8"
"6","NDUFV1"
"7","NDUFV2"
"8","NDUFAB1"
"9","NDUFA1"
"10","NDUFA2"
"11","NDUFA3"
"12","NDUFA5"
"13","NDUFA6"
"14","NDUFA7"
"15","NDUFA8"
"16","NDUFA9"
"17","NDUFA10"
"18","NDUFA11"
"19","NDUFA12"
"20","NDUFA13"
"21","NDUFB1"
"22","NDUFB2"
"23","NDUFB3"
"24","NDUFB4"
"25","NDUFB5"
"26","NDUFB6"
"27","NDUFB7"
"28","NDUFB8"
"29","NDUFB9"
"30","NDUFB10"
"31","NDUFB11"
"32","NDUFC1"
"33","NDUFC2"
"34","NDUFS4"
"35","NDUFS5"
"36","NDUFS6"
"37","NDUFV3"
"38","SDHA"
"39","SDHB"
"40","SDHC"
"41","SDHD"
"42","UQCRB"
"43","UQCRQ"
"44","UQCRC1"
"45","UQCRC2"
"46","MT-CYB"
"47","CYC1"
"48","UQCRFS1"
"49","UQCRH"
"50","UQCR10"
"51","UQCR11"
"52","COX4I1"
"53","COX4I2"
"54","COX5A"
"55","COX5B"
"56","COX6A1"
"57","COX6A2"
"58","COX6B1"
"59","COX6B2"
"60","COX6C"
"61","COX7A1"
"62","COX7A2"
"63","COX7B"
"64","COX7B2"
"65","COX7C"
"66","COX8A"
"67","COX8C"
"68","MT-CO1"
"69","MT-CO2"
"70","MT-CO3"
"71","ATP5F1A"
"72","ATP5F1B"
"73","ATP5F1C"
"74","ATP5F1D"
"75","ATP5F1E"
"76","ATP5MC1"
"77","ATP5MC2"
"78","ATP5MC3"
"79","ATP5ME"
"80","ATP5MF"
"81","ATP5MG"
"82","ATP5MJ"
"83","ATP5MK"
"84","MT-ATP6"
"85","MT-ATP8"
"86","ATP5PB"
"87","ATP5PD"
"88","ATP5PF"
"89","ATP5PO"
"90","ATP5IF1"
"91","ATPAF1"
"92","ATPAF2"
"93","BCS1L"
"94","CHCHD7"
"95","CMC1"
"96","CMC2"
"97","COA1"
"98","COA3"
"99","COA4"
"100","COA5"
"101","COA6"
"102","COA7"
"103","COA8"
"104","COX7A2L"
"105","COX10"
"106","COX11"
"107","COX14"
"108","COX15"
"109","COX16"
"110","COX17"
"111","COX18"
"112","COX19"
"113","COX20"
"114","DMAC1"
"115","DMAC2"
"116","FDXR"
"117","FDX2"
"118","FMC1"
"119","FOXRED1"
"120","HCCS"
"121","HIGD1A"
"122","HIGD2A"
"123","LRPPRC"
"124","LYRM7"
"125","NDUFAF1"
"126","NDUFAF2"
"127","NDUFAF3"
"128","NDUFAF4"
"129","NDUFAF5"
"130","NDUFAF6"
"131","NDUFAF7"
"132","NDUFAF8"
"133","NUBPL"
"134","OCIAD2"
"135","OXA1L"
"136","PET100"
"137","PET117"
"138","PNKD"
"139","SCO1"
"140","SCO2"
"141","SDHAF1"
"142","SDHAF2"
"143","SDHAF3"
"144","SDHAF4"
"145","SFXN4"
"146","SMIM20"
"147","SURF1"
"148","TACO1"
"149","TIMMDC1"
"150","TMEM70"
"151","TMEM126A"
"152","TMEM177"
"153","TMEM186"
"154","TMEM223"
"155","TMEM242"
"156","TTC19"
"157","UQCC1"
"158","UQCC2"
"159","UQCC3"
"160","UQCC4"
"161","UQCC5"
"162","UQCC6"
"163","ACAD9"
"164","COA1"
"165","ECSIT"
"166","NDUFAF1"
"167","TMEM126B"
"168","TMEM186"
"169","BOLA3"
"170","FDXR"
"171","FXN"
"172","GLRX5"
"173","IBA57"
"174","ISCA1"
"175","ISCA2"
"176","ISCU"
"177","LYRM4"
"178","NFS1"
"179","NFU1"
"180","NUBPL"
